latitude (dec.degrees),longitude (dec.degrees),adam_naam,norel,hhi,minecorop
51.481,5.459,"Nuenen, Gerwen en Nederwetten",0.081234768,0.932286337,Zuidoost-Noord-Brabant
50.885,5.753,Meerssen,0.081433225,0.930054938,Zuid-Limburg
51.326,3.966,Boschkapelle,0.082304527,0.881918529,Zuidoost-Noord-Brabant
50.894,6.061,Eijgelshoven,0.082440231,0.836782069,Zuid-Limburg
50.999,5.869,Sittard,0.082644628,0.916147078,Zuid-Limburg
51.273,5.576,Budel,0.082667401,0.966342396,Zuidoost-Noord-Brabant
51.698,5.935,Oeffelt,0.083542189,0.986711558,Noordoost-Noord-Brabant
51.871,4.07,Rockanje,0.085947572,0.80528172,Zuidoost-Zuid-Holland
50.897,5.732,Bunde,0.086281277,0.996551734,Zuid-Limburg
52.116,5.078,Zuilen,0.088731145,0.542418975,Utrecht
52.436,6.233,Heino,0.091659028,0.456978369,Zuidwest-Overijssel
51.565,4.938,Gilze en Rijen,0.092421442,0.976160423,Midden-Noord-Brabant
51.367,3.409,Cadzand,0.092678406,0.846427625,Zeeuwsch-Vlaanderen
51.19,5.811,Hunsel,0.09310987,1,Midden-Limburg
51.343,6.137,Tegelen,0.093487068,0.989741825,Noord-Limburg
